 Optimized Parameter
a1 = ,       0.149098
a2 = ,       0.093844
a3 = ,       0.070889
a4 = ,       0.004366
b1 = ,       0.010161
b2 = ,       0.093791
z1 = ,      78.813461
z2 = ,      18.682034
z3 = ,     142.828278
s1 = ,      23.102116
s2 = ,      28.987499
s3 = ,      44.460106
Er = ,  344034.343750
NS = ,       0.780438

 No,rain(mm/h),q_obs(m3/s),q_cal(m3/s)
    1,   0.05490,   5.65000,  23.30161
    2,   0.05440,   5.20000,  21.57640
    3,   0.05380,   4.26000,  20.03099
    4,   0.05330,   4.33000,  18.64657
    5,   0.05280,   5.42000,  17.40600
    6,   0.05230,   4.75000,  16.29397
    7,   0.05190,   3.90000,  15.29713
    8,   0.05140,   2.00000,  14.40285
    9,   0.05100,   1.28000,  13.60056
   10,   0.05060,   0.72000,  12.88044
   11,   0.05020,   7.48000,  12.23372
   12,   0.04990,   5.77000,  11.65294
   13,   0.04950,   4.17000,  11.13070
   14,   0.04920,   3.94000,  10.66112
   15,   0.04890,   3.48000,  10.54863
   16,   0.04860,   3.11000,  10.62917
   17,   0.04830,   3.30000,  10.70031
   18,   0.04800,   3.45000,  10.76294
   19,   0.04770,   3.73000,  10.81783
   20,   0.04750,   4.16000,  10.86570
   21,   0.04720,   3.57000,  10.90720
   22,   0.04700,   2.91000,  10.94290
   23,   0.04680,   3.02000,  10.97334
   24,   0.04660,   3.20000,  10.99900
   25,   0.04640,   3.17000,  11.02032
   26,   0.04620,   2.91000,  11.03770
   27,   0.04600,   3.00000,  11.05149
   28,   0.04590,   3.14000,  11.06201
   29,   0.04570,   3.05000,  11.06957
   30,   0.04550,   3.31000,  11.07443
   31,   0.04530,   3.80000,  11.07683
   32,   0.04520,   3.01000,  11.07699
   33,   0.04500,   2.85000,  11.07512
   34,   0.04490,   2.88000,  11.07140
   35,   0.04480,   2.99000,  11.06598
   36,   0.04460,   2.99000,  11.05902
   37,   0.04450,   3.01000,  11.05066
   38,   0.04440,   2.96000,  11.04101
   39,   0.04430,   1.16000,  11.03019
   40,   0.04420,   2.21000,  11.01830
   41,   0.04410,   3.87000,  11.00543
   42,   0.04400,   3.98000,  10.99166
   43,   0.04390,   3.50000,  10.97708
   44,   0.04380,   3.25000,  10.96175
   45,   0.04370,   3.04000,  10.94573
   46,   0.04360,   3.04000,  10.92908
   47,   0.04350,   2.84000,  10.91185
   48,   0.04340,   2.95000,  10.89409
   49,   0.04340,   3.00000,  10.87585
   50,   0.04340,   2.87000,  10.85715
   51,   0.04330,   2.77000,  10.83805
   52,   0.04320,   2.66000,  10.81856
   53,   0.04310,   3.03000,  10.79872
   54,   0.04310,   3.26000,  10.77856
   55,   0.04300,   3.08000,  10.75809
   56,   0.04300,   2.56000,  10.73736
   57,   0.04290,   2.58000,  10.71636
   58,   0.04290,   1.53000,  10.69513
   59,   0.04280,   1.53000,  10.67367
   60,   0.04280,   2.13000,  10.65202
   61,   0.04600,   2.43000,  10.63017
   62,   0.05510,   2.51000,  10.60815
   63,   0.06320,   2.58000,  10.58597
   64,   0.06210,   2.85000,  10.56364
   65,   0.06100,   3.17000,  10.54119
