 Optimized Parameter
a1 = ,       0.149156
a2 = ,       0.098013
a3 = ,       0.089679
a4 = ,       0.006176
b1 = ,       0.062405
b2 = ,       0.128128
z1 = ,      83.438858
z2 = ,      11.320376
z3 = ,      83.853088
s1 = ,      19.948133
s2 = ,       4.009008
s3 = ,       3.630394
Er = ,   46602.371094
NS = ,       0.818794

 No,rain(mm/h),q_obs(m3/s),q_cal(m3/s)
    1,   0.06740,   3.06000,  32.71148
    2,   0.06560,   6.42000,  25.44667
    3,   0.06390,   0.71000,  19.37441
    4,   0.06240,   4.21000,  14.30155
    5,   0.06100,   2.66000,  10.06588
    6,   0.05970,   3.18000,   6.53146
    7,   0.05850,   2.99000,   3.58444
    8,   0.05740,   3.46000,   2.17479
    9,   0.05630,   3.81000,   2.33564
   10,   0.05540,   3.60000,   2.49120
   11,   0.05450,   3.35000,   2.64102
   12,   0.05370,   3.15000,   2.78479
   13,   0.05290,   3.29000,   2.92230
   14,   0.05220,   3.60000,   3.05342
   15,   0.05150,   3.60000,   3.17811
   16,   0.05090,   3.54000,   3.29638
   17,   0.05030,   3.50000,   3.40829
   18,   0.04980,   3.54000,   3.51395
   19,   0.04930,   3.47000,   3.61347
   20,   0.04880,   3.37000,   3.70703
   21,   0.04840,   3.43000,   3.79480
   22,   0.04800,   3.38000,   3.87696
   23,   0.04760,   3.50000,   3.95373
   24,   0.04720,   3.53000,   4.02530
   25,   0.04700,   2.98000,   4.09189
   26,   0.04670,   3.59000,   4.15372
   27,   0.04630,   2.86000,   4.21099
   28,   0.04610,   3.02000,   4.26393
   29,   0.04580,   3.01000,   4.31272
   30,   0.04560,   3.23000,   4.35759
   31,   0.04530,   3.38000,   4.39873
   32,   0.04510,   3.40000,   4.43632
   33,   0.04490,   3.22000,   4.47056
   34,   0.04470,   3.51000,   4.50163
   35,   0.04450,   3.39000,   4.52970
   36,   0.04450,   2.88000,   4.55493
   37,   0.05140,   2.82000,   4.57750
   38,   0.07240,   3.32000,   4.59761
   39,   0.10300,   3.36000,   4.61550
   40,   0.12760,   3.39000,   4.63144
   41,   0.11660,   3.55000,   4.64562
   42,   0.11000,   3.72000,   4.65822
   43,   0.10460,   3.92000,   4.66939
   44,   0.10000,   3.97000,   4.67925
   45,   0.09580,   3.97000,   4.68790
   46,   0.09200,   3.79000,   4.69542
   47,   0.08860,   4.20000,   4.70189
   48,   0.08540,   4.43000,   4.70737
   49,   0.08280,   3.88000,   4.71193
   50,   0.08010,   4.47000,   4.71559
   51,   0.07760,   3.74000,   4.71841
   52,   0.07530,   2.93000,   4.72043
   53,   0.07310,   3.18000,   4.72168
   54,   0.07120,   3.48000,   4.72219
   55,   0.06930,   3.48000,   4.72199
   56,   0.06760,   3.60000,   4.72110
   57,   0.06600,   3.71000,   4.71956
   58,   0.06450,   3.71000,   4.71737
   59,   0.06310,   3.83000,   4.71458
   60,   0.06180,   3.93000,   4.71119
   61,   0.06060,   4.09000,   4.70722
   62,   0.05990,   4.12000,   4.70271
   63,   0.05890,   4.19000,   4.69766
   64,   0.05950,   3.74000,   4.69211
   65,   0.05730,   3.97000,   4.68607
   66,   0.05620,   3.88000,   4.67955
   67,   0.05530,   3.90000,   4.67259
   68,   0.05450,   3.83000,   4.66519
   69,   0.05370,   3.83000,   4.65737
   70,   0.05300,   3.88000,   4.64915
   71,   0.05240,   3.88000,   4.64054
   72,   0.05180,   3.85000,   4.63157
   73,   0.05120,   4.00000,   4.62225
   74,   0.05070,   3.90000,   4.61259
   75,   0.05020,   4.21000,   4.60260
   76,   0.04970,   4.54000,   4.59231
   77,   0.04920,   3.32000,   4.58173
   78,   0.04880,   3.22000,   4.57087
   79,   0.04840,   3.43000,   4.55975
   80,   0.04800,   3.68000,   4.54838
   81,   0.04770,   3.79000,   4.53677
   82,   0.04730,   3.76000,   4.52493
   83,   0.05030,   3.17000,   4.51289
   84,   0.08800,   3.08000,   4.50073
   85,   0.15960,   2.94000,   4.48866
   86,   0.35520,   4.16000,   4.47719
   87,   0.38850,   3.79000,   4.46682
   88,   0.37250,   4.07000,   4.45789
   89,   0.33020,   4.05000,   4.45060
   90,   0.29900,   6.54000,   4.44505
   91,   0.27320,   5.66000,   4.44123
   92,   0.25140,   5.90000,   4.43911
   93,   0.23250,   5.36000,   4.43858
   94,   0.21600,   5.38000,   4.43954
   95,   0.20140,   5.12000,   4.44184
   96,   0.18840,   5.24000,   4.44534
   97,   0.17750,   5.17000,   4.44990
   98,   0.16690,   5.70000,   4.45535
   99,   0.15720,   2.33000,   4.46155
  100,   0.14850,   2.25000,   4.46836
  101,   0.14060,   1.92000,   4.47563
  102,   0.13340,   2.26000,   4.48325
  103,   0.12670,   4.66000,   4.49108
  104,   0.12060,   4.27000,   4.49901
  105,   0.11510,   4.27000,   4.50695
  106,   0.11000,   4.08000,   4.51480
  107,   0.11050,   4.38000,   4.52249
  108,   0.23420,   4.54000,   4.53017
  109,   0.40420,   4.03000,   4.53832
  110,   0.43420,   4.03000,   4.54733
  111,   0.39610,   4.03000,   4.55746
  112,   0.37030,   4.03000,   4.56888
  113,   0.33530,   5.26000,   4.58162
  114,   0.30700,   5.31000,   4.59566
  115,   0.28290,   4.99000,   4.61092
  116,   0.26190,   4.93000,   4.62730
  117,   0.24350,   4.97000,   4.64464
  118,   0.22710,   5.09000,   4.66280
  119,   0.21240,   5.02000,   4.68162
  120,   0.19920,   7.32000,   4.70094
  121,   0.18840,   7.80000,   4.72061
  122,   0.17730,   5.99000,   4.74048
  123,   0.16710,   4.86000,   4.76039
  124,   0.15790,   4.00000,   4.78022
  125,   0.14950,   4.00000,   4.79984
  126,   0.14180,   4.41000,   4.81914
  127,   0.13470,   4.04000,   4.83801
  128,   0.12820,   4.12000,   4.85636
  129,   0.12220,   4.84000,   4.87410
  130,   0.15280,   5.14000,   4.89122
  131,   0.31700,   6.45000,   4.90804
  132,   0.49890,   5.96000,   4.92512
  133,   0.66710,   5.73000,   4.94324
  134,   0.77720,   5.85000,   4.96324
  135,   0.83200,   5.64000,   4.98586
  136,   0.78330,   5.69000,   5.01159
  137,   0.70190,   5.79000,   5.04067
  138,   0.63860,   6.62000,   5.07313
  139,   0.58470,   7.34000,   5.10885
  140,   0.53790,   7.44000,   5.14765
  141,   0.49670,   7.58000,   5.18925
  142,   0.46000,   8.32000,   5.23334
  143,   0.42710,   9.23000,   5.27958
  144,   0.39750,  10.79000,   5.32761
  145,   0.37330,   9.24000,   5.37708
  146,   0.34830,   8.41000,   5.42766
  147,   0.32560,   8.13000,   5.47900
  148,   0.30480,   7.12000,   5.53079
  149,   0.28580,   5.95000,   5.58272
  150,   0.26840,   5.96000,   5.63452
  151,   0.25240,   7.78000,   5.68592
  152,   0.23770,   8.52000,   5.73669
  153,   0.22420,   7.71000,   5.78662
  154,   0.21170,   7.45000,   5.83551
  155,   0.20010,   6.92000,   5.88319
  156,   0.18950,   6.73000,   5.92952
  157,   0.17960,   5.54000,   5.97437
  158,   0.18130,   5.59000,   6.01764
  159,   0.19700,   6.53000,   6.05931
  160,   0.22450,   6.53000,   6.09940
  161,   0.22320,   8.16000,   6.13797
  162,   0.20290,   7.29000,   6.17501
  163,   0.18620,   5.79000,   6.21052
  164,   0.17280,   6.07000,   6.24447
  165,   0.16150,   6.34000,   6.27683
  166,   0.15170,   6.49000,   6.30758
  167,   0.14310,   6.37000,   6.33669
  168,   0.13540,   6.25000,   6.36414
  169,   0.13080,   6.52000,   6.38992
  170,   0.12390,   7.39000,   6.41402
  171,   0.11780,   5.91000,   6.43644
  172,   0.11220,   5.43000,   6.45718
  173,   0.10720,   5.94000,   6.47624
  174,   0.10250,   5.74000,   6.49363
  175,   0.09830,   6.38000,   6.50937
  176,   0.09440,   6.06000,   6.52348
  177,   0.09080,   5.75000,   6.53598
  178,   0.10300,   5.69000,   6.54692
  179,   0.19840,   5.61000,   6.55654
  180,   0.35240,   5.93000,   6.56533
  181,   0.50280,   6.23000,   6.57396
  182,   0.58730,   6.24000,   6.58313
  183,   0.62690,   6.64000,   6.59350
  184,   0.61140,   7.60000,   6.60553
  185,   0.53280,   8.28000,   6.61946
  186,   0.47790,   8.28000,   6.63536
  187,   0.43410,   8.28000,   6.65319
  188,   0.39710,  11.02000,   6.67282
  189,   0.36510,  10.82000,   6.69409
  190,   0.33690,  11.00000,   6.71677
  191,   0.31180,  11.00000,   6.74063
  192,   0.28940,  10.07000,   6.76545
  193,   0.27220,   9.40000,   6.79098
  194,   0.25340,   9.48000,   6.81699
  195,   0.23650,   8.80000,   6.84324
  196,   0.22120,   8.80000,   6.86953
  197,   0.20740,   8.80000,   6.89565
  198,   0.19480,   8.06000,   6.92141
  199,   0.18330,   7.72000,   6.94664
  200,   0.17280,   7.86000,   6.97118
  201,   0.16320,   7.86000,   6.99491
  202,   0.16050,   7.60000,   7.01770
  203,   0.23520,   7.91000,   7.03961
  204,   0.38650,   7.87000,   7.06097
  205,   0.54760,   7.87000,   7.08235
  206,   0.63210,   8.75000,   7.10436
  207,   0.68380,   8.75000,   7.12758
  208,   0.63650,   8.75000,   7.15241
  209,   0.55850,  12.09000,   7.17898
  210,   0.50630,  13.19000,   7.20731
  211,   0.46300,  12.81000,   7.23729
  212,   0.42540,  13.25000,   7.26879
  213,   0.39240,  12.96000,   7.30158
  214,   0.36320,  13.02000,   7.33543
  215,   0.33700,  12.25000,   7.37010
  216,   0.31360,  12.19000,   7.40532
  217,   0.29800,  11.40000,   7.44087
  218,   0.27760,  11.41000,   7.47649
  219,   0.25930,  11.10000,   7.51196
  220,   0.24270,  10.62000,   7.54706
  221,   0.22750,  10.48000,   7.58158
  222,   0.21380,   9.70000,   7.61535
  223,   0.20120,   9.83000,   7.64818
  224,   0.18960,   9.83000,   7.67993
  225,   0.17910,   9.17000,   7.71046
  226,   0.17400,   9.17000,   7.73966
  227,   0.33190,   9.17000,   7.76775
  228,   0.50940,   9.13000,   7.79523
  229,   0.68500,   9.13000,   7.82284
  230,   0.77950,   9.17000,   7.85135
  231,   0.83080,   9.97000,   7.88147
  232,   0.79650,  11.51000,   7.91371
  233,   0.73480,  12.83000,   7.94833
  234,   0.66110,  13.57000,   7.98539
  235,   0.59760,  13.99000,   8.02481
  236,   0.54660,  14.00000,   8.06640
  237,   0.50210,  14.14000,   8.10988
  238,   0.46280,  15.21000,   8.15497
  239,   0.42790,  14.85000,   8.20134
  240,   0.39660,  14.78000,   8.24864
  241,   0.37420,  13.91000,   8.29657
  242,   0.34760,  13.21000,   8.34478
  243,   0.32360,  12.22000,   8.39298
  244,   0.30190,  12.83000,   8.44087
  245,   0.28220,  11.78000,   8.48818
  246,   0.26420,  12.22000,   8.53465
  247,   0.24780,  11.41000,   8.58005
  248,   0.23270,  11.05000,   8.62418
  249,   0.21900,  11.15000,   8.66684
  250,   0.21910,  11.20000,   8.70791
  251,   0.27760,  10.34000,   8.74739
  252,   0.42370,  10.24000,   8.78556
  253,   0.52810,  10.34000,   8.82287
  254,   0.63110,  10.34000,   8.85985
  255,   0.73470,  10.95000,   8.89715
  256,   0.78360,  10.95000,   8.93537
  257,   0.70070,  11.84000,   8.97484
  258,   0.62810,  13.06000,   9.01568
  259,   0.56360,  13.91000,   9.05784
  260,   0.51380,  13.28000,   9.10120
  261,   0.47080,  13.57000,   9.14556
  262,   0.43320,  14.28000,   9.19066
  263,   0.40000,  13.51000,   9.23625
  264,   0.37050,  13.78000,   9.28204
  265,   0.34570,  13.02000,   9.32775
  266,   0.32150,  12.50000,   9.37312
  267,   0.29970,  11.90000,   9.41788
  268,   0.28000,  12.60000,   9.46180
  269,   0.26200,  12.54000,   9.50465
  270,   0.24560,  11.56000,   9.54621
  271,   0.23060,  12.06000,   9.58632
  272,   0.21690,  11.10000,   9.62480
  273,   0.20430,  11.31000,   9.66150
  274,   0.19270,  11.13000,   9.69632
  275,   0.22770,  10.32000,   9.72921
  276,   0.19000,  10.24000,   9.76012
  277,   0.18110,  10.20000,   9.78899
  278,   0.22710,  10.20000,   9.81587
  279,   0.22880,  10.05000,   9.84083
  280,   0.19900,  10.05000,   9.86388
  281,   0.18040,  10.05000,   9.88501
  282,   0.16760,  10.05000,   9.90422
  283,   0.15650,  10.01000,   9.92148
  284,   0.14690,  10.01000,   9.93679
  285,   0.13840,  10.01000,   9.95014
  286,   0.13080,   9.22000,   9.96152
  287,   0.12400,   9.22000,   9.97094
  288,   0.11780,   9.13000,   9.97839
  289,   0.11270,   8.45000,   9.98391
  290,   0.10750,   8.40000,   9.98750
  291,   0.10280,   8.60000,   9.98918
  292,   0.09850,   8.60000,   9.98900
  293,   0.09450,   8.68000,   9.98698
  294,   0.09090,   8.68000,   9.98316
  295,   0.08750,   8.04000,   9.97758
  296,   0.08440,   8.08000,   9.97028
  297,   0.08150,   7.75000,   9.96131
  298,   0.13050,   8.53000,   9.95081
  299,   0.19540,   7.85000,   9.93903
  300,   0.27900,   7.82000,   9.92634
  301,   0.32500,   8.00000,   9.91313
  302,   0.31050,   7.78000,   9.89971
  303,   0.32400,   8.38000,   9.88633
  304,   0.29390,   8.64000,   9.87317
  305,   0.25750,   8.32000,   9.86029
  306,   0.23400,   8.91000,   9.84770
  307,   0.21450,   9.49000,   9.83536
  308,   0.19790,   8.56000,   9.82322
  309,   0.18350,   8.56000,   9.81120
  310,   0.17090,   8.87000,   9.79922
  311,   0.15980,   8.87000,   9.78720
  312,   0.14990,   8.83000,   9.77503
  313,   0.14170,   8.70000,   9.76263
  314,   0.13350,   8.12000,   9.74993
  315,   0.12620,   8.40000,   9.73685
  316,   0.11960,   8.52000,   9.72331
  317,   0.11350,   7.89000,   9.70925
  318,   0.10800,   8.42000,   9.69462
  319,   0.10300,   8.34000,   9.67937
  320,   0.09850,   8.15000,   9.66345
  321,   0.09430,   8.10000,   9.64684
  322,   0.09040,   8.03000,   9.62949
  323,   0.08690,   7.96000,   9.61140
