 Optimized Parameter
a1 = ,       0.126320
a2 = ,       0.120580
a3 = ,       0.094589
a4 = ,       0.010277
b1 = ,       0.149291
b2 = ,       0.172072
z1 = ,     116.110840
z2 = ,      62.103714
z3 = ,       1.465166
s1 = ,      13.827408
s2 = ,      39.544975
s3 = ,       9.749368
Er = ,   31094.105469
NS = ,       0.696111

 No,rain(mm/h),q_obs(m3/s),q_cal(m3/s)
    1,   0.05210,   1.64000, 147.83678
    2,   0.05160,   2.43000, 117.55351
    3,   0.05120,   1.89000,  94.51170
    4,   0.05070,   1.61000,  76.89990
    5,   0.05030,   2.11000,  63.37192
    6,   0.05000,   1.53000,  52.92549
    7,   0.04960,   2.17000,  44.81261
    8,   0.04930,   1.73000,  38.47386
    9,   0.04890,   2.82000,  33.48959
   10,   0.04860,   2.01000,  29.54418
   11,   0.04830,   2.76000,  26.39940
   12,   0.04810,   1.48000,  23.87486
   13,   0.04780,   2.25000,  21.83332
   14,   0.04780,   2.61000,  20.17012
   15,   0.04750,   2.84000,  18.80482
   16,   0.04730,   3.20000,  17.67544
   17,   0.04710,   2.79000,  16.73397
   18,   0.04690,   2.82000,  15.94303
   19,   0.04670,   2.81000,  15.27334
   20,   0.04650,   2.36000,  14.74843
   21,   0.04630,   3.65000,  14.68435
   22,   0.04610,   0.89000,  14.61345
   23,   0.04600,   2.25000,  14.53640
   24,   0.04580,   3.67000,  14.45387
   25,   0.04570,   2.81000,  14.36651
   26,   0.04560,   3.18000,  14.27492
   27,   0.04540,   3.18000,  14.17966
   28,   0.04530,   2.98000,  14.08126
   29,   0.04510,   0.87000,  13.98020
   30,   0.04500,   1.70000,  13.87691
   31,   0.04490,   2.10000,  13.77178
   32,   0.04480,   1.87000,  13.66517
   33,   0.04470,   2.18000,  13.55739
   34,   0.04460,   0.48000,  13.44873
   35,   0.04440,   1.19000,  13.33942
   36,   0.05120,   1.67000,  13.22976
   37,   0.07890,   3.95000,  13.12026
   38,   0.10560,   0.73000,  13.01156
   39,   0.12260,   0.98000,  12.90428
   40,   0.12560,   1.92000,  12.79887
   41,   0.12100,   2.67000,  12.69558
   42,   0.11670,   2.39000,  12.59449
   43,   0.11270,   3.40000,  12.49561
   44,   0.10900,   2.46000,  12.39884
   45,   0.10560,   2.13000,  12.30408
   46,   0.10230,   0.64000,  12.21115
   47,   0.09930,   2.39000,  12.11992
   48,   0.09650,   2.41000,  12.03020
   49,   0.09470,   1.98000,  11.94185
   50,   0.09210,   4.01000,  11.85471
   51,   0.08970,   2.24000,  11.76866
   52,   0.08740,   5.13000,  11.68357
   53,   0.08520,   0.15000,  11.59932
   54,   0.08320,   1.39000,  11.51580
   55,   0.08130,   1.77000,  11.43294
   56,   0.07950,   2.54000,  11.35065
   57,   0.07780,   2.95000,  11.26888
   58,   0.07620,   3.95000,  11.18756
   59,   0.07770,   1.59000,  11.10668
   60,   0.10670,   1.77000,  11.02653
   61,   0.25320,   1.86000,  10.94875
   62,   0.21110,   2.54000,  10.87401
   63,   0.57460,   2.49000,  10.80631
   64,   0.37360,   3.37000,  10.74624
   65,   0.26360,   4.09000,  10.69297
   66,   0.23550,   3.84000,  10.64544
   67,   0.22560,   4.16000,  10.60267
   68,   0.21640,   4.32000,  10.56376
   69,   0.20790,   2.13000,  10.52791
   70,   0.19980,   3.30000,  10.49439
   71,   0.19230,   3.49000,  10.46258
   72,   0.18520,   3.79000,  10.43191
   73,   0.18120,   3.83000,  10.40194
   74,   0.17470,   3.62000,  10.37229
   75,   0.16860,   1.13000,  10.34261
   76,   0.16280,   3.22000,  10.31263
