 Optimized Parameter
a1 = ,       0.125131
a2 = ,       0.073943
a3 = ,       0.071349
a4 = ,       0.009192
b1 = ,       0.148037
b2 = ,       0.035524
z1 = ,      49.531303
z2 = ,      52.530384
z3 = ,      11.410069
s1 = ,      11.738929
s2 = ,      14.664841
s3 = ,      27.119108
Er = ,   91323.312500
NS = ,       0.869096

 No,rain(mm/h),q_obs(m3/s),q_cal(m3/s)
    1,   0.04730,   1.50000,  22.75597
    2,   0.04700,   2.59000,  24.34581
    3,   0.04680,   3.19000,  25.21201
    4,   0.04660,   3.68000,  25.51369
    5,   0.04640,   2.36000,  25.38082
    6,   0.04620,   2.43000,  24.91921
    7,   0.04610,   1.69000,  24.21458
    8,   0.05150,   2.77000,  23.33820
    9,   0.05980,   2.33000,  22.34815
   10,   0.04560,   2.75000,  21.28157
   11,   0.04640,   0.84000,  20.17382
   12,   0.04860,   2.37000,  19.05302
   13,   0.05060,   2.37000,  17.94070
   14,   0.05250,   3.04000,  16.85307
   15,   0.15240,   2.89000,  15.84078
   16,   0.05570,   2.72000,  14.86370
   17,   0.19380,   2.73000,  13.98333
   18,   0.06480,   2.75000,  13.13967
   19,   0.48290,   4.25000,  12.50232
   20,   0.62400,   2.72000,  12.08845
   21,   0.35060,   3.93000,  11.74408
   22,   0.61750,   4.40000,  11.56388
   23,   0.50030,   4.78000,  11.46604
   24,   0.18550,   5.70000,  11.30874
   25,   0.15330,   4.89000,  11.27878
   26,   0.09870,   6.14000,  11.31150
   27,   0.08940,   7.92000,  11.34216
   28,   0.08610,   8.58000,  11.37054
   29,   0.08300,   8.45000,  11.39647
   30,   0.08020,   8.49000,  11.41983
   31,   0.07760,   8.37000,  11.44051
   32,   0.07520,   7.93000,  11.45846
   33,   0.07380,   7.69000,  11.47364
   34,   0.08030,   7.69000,  11.48605
   35,   0.08290,   7.25000,  11.49572
   36,   0.09970,   6.80000,  11.50271
   37,   0.14420,   6.77000,  11.50717
   38,   0.18380,   6.80000,  11.50932
   39,   0.20510,   6.52000,  11.50939
   40,   0.19650,   6.28000,  11.50756
   41,   0.18800,   6.14000,  11.50397
   42,   0.18010,   6.21000,  11.49875
   43,   0.17270,   6.07000,  11.49199
   44,   0.16580,   6.00000,  11.48377
   45,   0.15930,   5.93000,  11.47414
   46,   0.15320,   5.66000,  11.46316
   47,   0.14750,   5.59000,  11.45086
   48,   0.14220,   5.41000,  11.43727
   49,   0.13910,   5.38000,  11.42242
   50,   0.13430,   5.30000,  11.40635
   51,   0.12970,   5.30000,  11.38906
   52,   0.12540,   5.30000,  11.37058
   53,   0.12130,   4.89000,  11.35092
   54,   0.11740,   4.86000,  11.33010
   55,   0.11380,   4.80000,  11.30815
   56,   0.11040,   4.80000,  11.28506
   57,   0.10710,   4.30000,  11.26085
   58,   0.10400,   4.41000,  11.23555
   59,   0.10110,   4.30000,  11.20916
   60,   0.09830,   4.25000,  11.18171
   61,   0.09570,   4.27000,  11.15321
   62,   0.09320,   4.11000,  11.12368
   63,   0.09090,   3.80000,  11.09315
   64,   0.08860,   3.65000,  11.06162
   65,   0.08650,   3.85000,  11.02912
   66,   0.08450,   3.92000,  10.99568
   67,   0.08260,   3.41000,  10.96131
   68,   0.08070,   4.76000,  10.92604
   69,   0.07900,   3.51000,  10.88989
   70,   0.07730,   3.51000,  10.85288
   71,   0.07580,   3.63000,  10.81504
   72,   0.07430,   3.90000,  10.77640
   73,   0.07260,   3.72000,  10.73697
   74,   0.07120,   3.49000,  10.69679
   75,   0.07000,   3.65000,  10.65587
   76,   0.06870,   3.59000,  10.61425
   77,   0.06760,   3.65000,  10.57194
   78,   0.06650,   3.59000,  10.52897
   79,   0.06540,   3.48000,  10.48538
   80,   0.06440,   3.45000,  10.44117
   81,   0.06350,   3.39000,  10.39638
   82,   0.06250,   3.45000,  10.35104
   83,   0.06170,   3.37000,  10.30516
   84,   0.07230,   3.28000,  10.25880
   85,   0.11020,   3.28000,  10.21206
   86,   0.14450,   3.28000,  10.16510
   87,   0.14480,   3.54000,  10.11805
   88,   0.14040,   3.28000,  10.07102
   89,   0.13550,   3.19000,  10.02407
   90,   0.13080,   3.56000,   9.97727
   91,   0.12650,   4.78000,   9.93066
   92,   0.12240,   2.56000,   9.88426
   93,   0.11850,   2.56000,   9.83807
   94,   0.11490,   3.65000,   9.79212
   95,   0.11140,   3.77000,   9.74640
   96,   0.10820,   3.79000,   9.70091
   97,   0.10730,   3.67000,   9.65562
   98,   0.10420,   2.86000,   9.61055
   99,   0.10130,   3.77000,   9.56567
