 Optimized Parameter
a1 = ,       0.129861
a2 = ,       0.092130
a3 = ,       0.071060
a4 = ,       0.026365
b1 = ,       0.105627
b2 = ,       0.168369
z1 = ,      24.357044
z2 = ,      69.882225
z3 = ,     181.698578
s1 = ,       2.889612
s2 = ,       5.905749
s3 = ,       5.659482
Er = ,   80414.484375
NS = ,       0.665571

 No,rain(mm/h),q_obs(m3/s),q_cal(m3/s)
    1,   0.13560,   2.80000,   6.58272
    2,   0.13020,   2.67000,   7.31410
    3,   0.12520,   2.91000,   7.92028
    4,   0.12050,   2.95000,   8.41960
    5,   0.11610,   3.20000,   8.82759
    6,   0.11200,   2.63000,   9.15743
    7,   0.10810,   2.77000,   9.42034
    8,   0.10450,   3.19000,   9.62586
    9,   0.10110,   2.70000,   9.78211
   10,   0.10140,   2.52000,   9.89611
   11,   0.17720,   2.34000,   9.97522
   12,   0.37890,   2.34000,  10.02910
   13,   0.30530,   2.54000,  10.06403
   14,   0.35920,   2.46000,  10.08596
   15,   0.49940,   2.64000,  10.10192
   16,   0.49270,   2.79000,  10.11704
   17,   0.50100,   3.00000,  10.13518
   18,   0.48010,   4.03000,  10.15872
   19,   0.45190,   0.00000,  10.18870
   20,   0.42590,   3.22000,  10.22530
   21,   0.40180,   3.85000,  10.26802
   22,   0.37960,   3.20000,  10.31596
   23,   0.35900,   3.60000,  10.36794
   24,   0.33990,   4.07000,  10.42269
   25,   0.29750,   3.64000,  10.47841
   26,   0.28440,   3.14000,  10.53356
   27,   0.27210,   3.66000,  10.58677
   28,   0.26040,   3.61000,  10.63687
   29,   0.24930,   3.34000,  10.68289
   30,   0.23890,   3.16000,  10.72400
   31,   0.22900,   3.41000,  10.75953
   32,   0.21960,   3.54000,  10.78895
   33,   0.21070,   3.61000,  10.81187
   34,   0.20230,   6.02000,  10.82798
   35,   0.19440,   2.62000,  10.83709
   36,   0.18680,   2.34000,  10.83909
   37,   0.17970,   2.30000,  10.83394
   38,   0.17290,   2.88000,  10.82168
   39,   0.16650,   2.94000,  10.80241
   40,   0.16040,   2.80000,  10.77624
   41,   0.15460,   2.83000,  10.74336
   42,   0.14920,   2.73000,  10.70398
   43,   0.14400,   3.96000,  10.65833
   44,   0.13900,   2.72000,  10.60667
   45,   0.13430,   2.23000,  10.54927
   46,   0.12990,   3.83000,  10.48642
   47,   0.12570,   2.36000,  10.41840
   48,   0.12170,   2.00000,  10.34553
   49,   0.11770,   2.78000,  10.26809
   50,   0.11410,   3.14000,  10.18639
   51,   0.11060,   2.74000,  10.10073
   52,   0.10740,   2.86000,  10.01139
   53,   0.10430,   2.81000,   9.91867
   54,   0.10130,   3.07000,   9.82284
   55,   0.09850,   3.13000,   9.72419
   56,   0.09580,   2.38000,   9.62299
   57,   0.09330,   3.46000,   9.51948
   58,   0.09090,   2.25000,   9.41392
   59,   0.08860,   2.25000,   9.30655
   60,   0.08640,   2.62000,   9.19759
   61,   0.08430,   0.47000,   9.08727
   62,   0.08240,   0.00000,   8.97579
   63,   0.08490,   0.81000,   8.86343
   64,   0.08350,   0.94000,   8.75043
   65,   0.08150,   2.46000,   8.63702
   66,   0.07960,   2.48000,   8.52338
   67,   0.07780,   1.23000,   8.40966
   68,   0.07600,   1.36000,   8.29601
   69,   0.07440,   4.65000,   8.18256
   70,   0.07280,   1.91000,   8.06941
   71,   0.07140,   2.49000,   7.95666
   72,   0.07000,   2.67000,   7.84442
   73,   0.06860,   2.73000,   7.73276
   74,   0.06730,   2.82000,   7.62175
   75,   0.06610,   0.00000,   7.51148
   76,   0.06500,   3.86000,   7.40200
   77,   0.06390,   3.71000,   7.29337
   78,   0.06280,   1.82000,   7.18566
   79,   0.06190,   1.87000,   7.07890
   80,   0.06090,   1.70000,   6.97316
   81,   0.06000,   2.02000,   6.86848
   82,   0.05920,   0.13000,   6.76489
   83,   0.05840,   2.96000,   6.66243
   84,   0.05760,   3.72000,   6.56114
   85,   0.05690,   0.30000,   6.46106
   86,   0.06200,   2.85000,   6.36230
   87,   0.08000,   2.04000,   6.26530
   88,   0.09310,   0.00000,   6.17060
   89,   0.10210,   0.90000,   6.07872
   90,   0.09840,   0.90000,   5.98997
   91,   0.09490,   0.90000,   5.90446
   92,   0.09170,   1.24000,   5.82220
   93,   0.08880,   1.24000,   5.74309
   94,   0.08600,   1.70000,   5.66697
   95,   0.08340,   1.72000,   5.59365
   96,   0.08100,   1.72000,   5.52291
   97,   0.08000,   2.25000,   5.45455
   98,   0.07770,   2.28000,   5.38835
   99,   0.07550,   2.31000,   5.32411
  100,   0.07350,   2.31000,   5.26162
  101,   0.07170,   2.26000,   5.20068
  102,   0.07000,   2.26000,   5.14111
  103,   0.06840,   2.26000,   5.08276
  104,   0.06690,   2.10000,   5.02548
  105,   0.06550,   1.96000,   4.96913
  106,   0.13740,   1.54000,   4.91489
  107,   0.60050,   1.98000,   4.87165
  108,   0.88600,   0.98000,   4.85061
  109,   1.33330,   0.98000,   4.86713
  110,   1.27540,   0.75000,   4.93045
  111,   0.79650,   3.45000,   5.03771
  112,   0.96930,   0.17000,   5.18877
  113,   0.87340,   1.44000,   5.38073
  114,   0.55550,   1.92000,   5.60485
  115,   0.52480,   2.95000,   5.85340
  116,   0.49640,   3.83000,   6.11958
  117,   0.46990,   3.89000,   6.39745
  118,   0.44530,   3.59000,   6.68187
  119,   0.42230,   3.81000,   6.96843
  120,   0.40090,   3.76000,   7.25336
  121,   0.39680,   3.51000,   7.53378
  122,   0.37570,   3.71000,   7.80722
  123,   0.35620,   3.86000,   8.07156
  124,   0.33790,   3.56000,   8.32508
  125,   0.32100,   3.40000,   8.56634
  126,   0.30520,   3.42000,   8.79424
  127,   0.29040,   3.14000,   9.00792
  128,   0.27660,   3.11000,   9.20677
  129,   0.26360,   2.61000,   9.39036
  130,   0.25150,   3.54000,   9.55848
  131,   0.48320,   3.44000,   9.71530
  132,   0.39590,   4.58000,   9.86251
  133,   0.55400,   3.16000,  10.00427
  134,   0.69640,   4.95000,  10.14612
  135,   0.80840,   4.56000,  10.29399
  136,   0.87350,   3.34000,  10.45308
  137,   1.18170,   3.92000,  10.63217
  138,   0.82490,   5.20000,  10.83086
  139,   0.76160,   6.06000,  11.04717
  140,   0.71750,   6.25000,  11.27837
  141,   0.67670,   6.49000,  11.52132
  142,   0.63900,   6.13000,  11.77268
  143,   0.60390,   6.13000,  12.02910
  144,   0.57130,   5.57000,  12.28733
  145,   0.56560,   5.57000,  12.54478
  146,   0.53400,   5.36000,  12.79891
  147,   0.50460,   4.73000,  13.04731
  148,   0.47740,   4.70000,  13.28780
  149,   0.45200,   3.94000,  13.51843
  150,   0.42840,   5.02000,  13.73751
  151,   0.40630,   4.81000,  13.94361
  152,   0.38570,   4.18000,  14.13553
  153,   0.36640,   3.96000,  14.31233
  154,   0.42860,   4.35000,  14.47470
  155,   0.67220,   4.05000,  14.62765
  156,   0.94650,   3.29000,  14.77977
  157,   0.73070,   3.22000,  14.93343
  158,   0.98650,   3.94000,  15.09474
  159,   0.79520,   4.22000,  15.26450
  160,   0.85030,   5.79000,  15.44398
  161,   0.66520,   5.96000,  15.63054
  162,   0.58390,   6.21000,  15.82061
  163,   0.51960,   6.70000,  16.01028
  164,   0.49360,   8.91000,  16.19622
  165,   0.45910,   6.34000,  16.37539
  166,   0.50440,   6.27000,  16.54648
  167,   0.43070,   8.82000,  16.70735
  168,   0.46170,   4.35000,  16.85718
  169,   0.38100,   6.93000,  16.99414
  170,   0.41620,   7.48000,  17.11779
  171,   0.34030,  10.19000,  17.22674
  172,   0.87280,   6.96000,  17.32957
  173,   0.37500,   9.89000,  17.42391
  174,   0.28950,   9.54000,  17.50672
  175,   0.27490,   9.54000,  17.57578
  176,   0.26130,  10.46000,  17.62953
  177,   0.24850,  11.04000,  17.66697
  178,   0.23660,  12.55000,  17.68755
  179,   0.22550,  12.55000,  17.69107
  180,   0.21510,  13.10000,  17.67760
  181,   0.20530,   7.88000,  17.64745
  182,   0.19610,  13.30000,  17.60109
  183,   0.19660,  12.89000,  17.53929
  184,   0.22670,  12.56000,  17.46353
  185,   0.23830,  12.48000,  17.37545
  186,   0.22320,  12.01000,  17.27632
  187,   0.20960,  11.39000,  17.16713
  188,   0.19750,  11.18000,  17.04868
  189,   0.18650,  10.80000,  16.92163
  190,   0.17660,  10.80000,  16.78657
  191,   0.16750,   9.92000,  16.64401
  192,   0.15930,   9.72000,  16.49442
  193,   0.15740,  10.03000,  16.33836
  194,   0.14980,   7.17000,  16.17632
  195,   0.14280,   7.46000,  16.00876
  196,   0.13630,   7.45000,  15.83611
  197,   0.13030,   6.61000,  15.65877
  198,   0.12480,   6.79000,  15.47714
  199,   0.11970,   6.96000,  15.29162
  200,   0.11490,   7.00000,  15.10257
  201,   0.11050,   6.37000,  14.91036
  202,   0.10640,   6.45000,  14.71537
  203,   0.10250,   6.99000,  14.51793
  204,   0.09900,   4.27000,  14.31840
  205,   0.09560,   7.26000,  14.11712
  206,   0.11210,   4.34000,  13.91474
  207,   0.18160,   7.10000,  13.71309
  208,   0.23170,   7.40000,  13.51443
  209,   0.23820,   7.42000,  13.32054
  210,   0.22320,   4.48000,  13.13242
  211,   0.20890,   4.48000,  12.95050
  212,   0.19610,   7.13000,  12.77480
  213,   0.18460,   7.45000,  12.60505
  214,   0.17420,   4.45000,  12.44084
  215,   0.16470,   4.42000,  12.28164
  216,   0.15610,   4.40000,  12.12685
  217,   0.15040,   4.73000,  11.97592
  218,   0.14290,   4.71000,  11.82831
  219,   0.13610,   5.06000,  11.68348
  220,   0.12980,   5.09000,  11.54093
  221,   0.12400,   5.09000,  11.40023
  222,   0.11860,   5.09000,  11.26096
  223,   0.11360,   5.07000,  11.12280
  224,   0.10900,   4.77000,  10.98545
  225,   0.10480,   8.10000,  10.84867
  226,   0.10080,   4.75000,  10.71226
  227,   0.09900,   5.06000,  10.57612
  228,   0.17190,   4.75000,  10.44148
  229,   0.30260,   5.42000,  10.31157
  230,   0.42380,   5.43000,  10.19075
  231,   0.49750,   5.78000,  10.08335
  232,   0.53870,   5.39000,   9.99291
  233,   0.54090,   5.36000,   9.92170
  234,   0.51220,   5.38000,   9.87040
  235,   0.47570,   5.38000,   9.83844
  236,   0.44280,   8.38000,   9.82436
  237,   0.41300,   8.34000,   9.82617
  238,   0.38590,   8.25000,   9.84159
  239,   0.36130,   8.25000,   9.86816
  240,   0.33880,   5.58000,   9.90347
  241,   0.32100,   8.32000,   9.94521
  242,   0.30170,   8.63000,   9.99120
  243,   0.28400,   5.66000,  10.03944
  244,   0.26760,   5.99000,  10.08811
  245,   0.25260,   5.99000,  10.13560
  246,   0.23860,   5.92000,  10.18050
  247,   0.22570,   8.61000,  10.22161
  248,   0.21380,   8.28000,  10.25792
  249,   0.20270,   8.54000,  10.28862
  250,   0.19240,   8.51000,  10.31304
  251,   0.18350,   8.57000,  10.33070
  252,   0.21700,   8.22000,  10.34198
  253,   0.31530,   5.89000,  10.34902
  254,   0.43370,   8.85000,  10.35554
  255,   0.52040,   9.22000,  10.36575
  256,   0.56160,   8.92000,  10.38333
  257,   0.52710,   6.61000,  10.41016
  258,   0.49010,   8.92000,  10.44670
  259,   0.45630,   9.56000,  10.49247
  260,   0.42580,   8.97000,  10.54634
  261,   0.39810,   8.97000,  10.60677
  262,   0.37280,   6.19000,  10.67203
  263,   0.34970,   8.61000,  10.74032
  264,   0.32850,   8.40000,  10.80986
  265,   0.31780,   8.42000,  10.87910
  266,   0.29870,   6.58000,  10.94658
  267,   0.28120,   6.51000,  11.01093
  268,   0.26500,   6.92000,  11.07093
  269,   0.25010,   6.80000,  11.12550
  270,   0.23630,   6.80000,  11.17375
  271,   0.22350,   7.18000,  11.21490
  272,   0.21160,   6.91000,  11.24837
  273,   0.20060,   6.73000,  11.27370
  274,   0.19040,   6.88000,  11.29055
  275,   0.18080,   6.82000,  11.29872
  276,   0.18010,   4.56000,  11.29826
  277,   0.27360,   6.82000,  11.29103
  278,   0.39420,   6.59000,  11.28066
  279,   0.49590,   7.03000,  11.27163
  280,   0.55180,   7.09000,  11.26814
  281,   0.53410,   6.98000,  11.27277
  282,   0.49540,   9.26000,  11.28655
  283,   0.46060,   6.98000,  11.30935
  284,   0.42910,   7.31000,  11.34034
  285,   0.40060,   7.29000,  11.37817
  286,   0.37450,   6.93000,  11.42126
  287,   0.35080,   9.60000,  11.46788
  288,   0.32910,   6.44000,  11.51630
  289,   0.30930,   7.12000,  11.56486
  290,   0.29090,   7.18000,  11.61200
  291,   0.27390,   7.18000,  11.65633
  292,   0.25820,   7.43000,  11.69658
  293,   0.24380,   7.53000,  11.73169
  294,   0.23040,   5.11000,  11.76075
  295,   0.21810,   7.50000,  11.78301
  296,   0.20660,   7.61000,  11.79790
  297,   0.19590,   7.33000,  11.80499
  298,   0.18600,   7.44000,  11.80396
  299,   0.17680,   7.47000,  11.79463
  300,   0.16820,   5.15000,  11.77691
  301,   0.16030,   6.93000,  11.75083
  302,   0.15280,   4.26000,  11.71647
  303,   0.14840,   6.86000,  11.67405
  304,   0.20310,   8.09000,  11.62487
  305,   0.23690,   8.07000,  11.57067
  306,   0.22930,   8.01000,  11.51272
  307,   0.21470,   7.56000,  11.45179
  308,   0.20150,   7.45000,  11.38832
  309,   0.18970,   7.48000,  11.32250
  310,   0.17890,   7.65000,  11.25439
  311,   0.16920,   5.65000,  11.18394
  312,   0.16030,   5.59000,  11.11102
  313,   0.15580,   5.46000,  11.03560
  314,   0.14770,   8.24000,  10.95758
  315,   0.14040,   6.28000,  10.87687
  316,   0.13360,   6.41000,  10.79338
  317,   0.12740,   6.30000,  10.70706
  318,   0.12160,   6.27000,  10.61786
  319,   0.11630,   6.08000,  10.52578
  320,   0.11140,   3.59000,  10.43083
  321,   0.10690,   5.49000,  10.33307
  322,   0.10270,   6.35000,  10.23257
  323,   0.10170,   4.73000,  10.12949
  324,   0.21190,   4.73000,  10.02596
  325,   0.43900,   5.95000,   9.92757
  326,   0.64390,   6.11000,   9.84185
  327,   0.80820,   6.22000,   9.77685
  328,   0.91300,   8.60000,   9.73978
  329,   0.90670,   8.64000,   9.73508
  330,   0.83570,  10.51000,   9.76396
  331,   0.77170,  10.51000,   9.82536
  332,   0.71420,  10.65000,   9.91667
  333,   0.66250,  10.99000,  10.03438
  334,   0.61570,   9.92000,  10.17440
  335,   0.57330,  10.10000,  10.33244
  336,   0.53460,   9.38000,  10.50422
  337,   0.52530,   9.02000,  10.68605
  338,   0.48770,   9.47000,  10.87429
  339,   0.45370,   8.78000,  11.06545
  340,   0.42290,   8.40000,  11.25633
  341,   0.39490,   8.73000,  11.44402
  342,   0.36920,   8.30000,  11.62596
  343,   0.34570,   8.38000,  11.79993
  344,   0.32410,   7.55000,  11.96408
  345,   0.30430,   8.87000,  12.11686
  346,   0.28600,   7.34000,  12.25704
  347,   0.26910,   7.03000,  12.38367
  348,   0.27320,   5.83000,  12.49640
  349,   0.48400,   7.59000,  12.59895
  350,   0.66560,   8.46000,  12.69735
  351,   0.86700,   9.03000,  12.79956
  352,   0.89170,  10.02000,  12.91164
  353,   0.86330,  10.30000,  13.03717
  354,   0.82890,  12.60000,  13.17779
  355,   0.77220,  14.56000,  13.33323
  356,   0.75260,  12.98000,  13.50256
  357,   0.70360,  10.93000,  13.68381
  358,   0.64670,  12.32000,  13.87421
  359,   0.59570,  13.70000,  14.07054
  360,   0.55050,  13.05000,  14.26945
  361,   0.55850,  13.05000,  14.46850
  362,   0.51240,  12.54000,  14.66501
  363,   0.47160,  12.54000,  14.85632
  364,   0.43610,  12.87000,  15.03989
  365,   0.40530,  13.01000,  15.21346
  366,   0.37820,  12.94000,  15.37509
  367,   0.35850,  12.25000,  15.52322
  368,   0.34340,  12.25000,  15.65672
  369,   1.00330,  13.82000,  15.78659
  370,   0.32180,  14.15000,  15.90891
  371,   0.36870,  14.13000,  16.02180
  372,   0.39020,  13.94000,  16.12444
  373,   0.61320,  14.94000,  16.22033
  374,   0.50880,  17.29000,  16.31030
  375,   0.42720,  19.25000,  16.39362
  376,   0.29970,  21.33000,  16.46767
  377,   0.27500,  25.93000,  16.53029
  378,   0.25340,  27.85000,  16.57981
  379,   0.23450,  28.03000,  16.61496
