 Optimized Parameter
a1 = ,       0.143042
a2 = ,       0.130756
a3 = ,       0.107708
a4 = ,       0.009635
b1 = ,       0.082909
b2 = ,       0.044447
z1 = ,      47.891003
z2 = ,      58.731998
z3 = ,       4.241359
s1 = ,       2.155989
s2 = ,      15.021837
s3 = ,      36.030895
Er = ,  126894.093750
NS = ,       0.915985

 No,rain(mm/h),q_obs(m3/s),q_cal(m3/s)
    1,   0.12950,   0.00000,  57.14501
    2,   0.12590,   2.86000,  50.52492
    3,   0.12260,   0.77000,  44.88161
    4,   0.11930,   0.86000,  40.06708
    5,   0.11620,   0.00000,  35.95586
    6,   0.11330,   3.71000,  32.44159
    7,   0.11050,   0.00000,  29.43408
    8,   0.10770,  10.77000,  26.85681
    9,   0.10520,   0.00000,  24.64498
   10,   0.10270,   0.00000,  22.74356
   11,   0.10030,   0.00000,  21.10592
   12,   0.09800,   3.47000,  19.69248
   13,   0.09580,   0.00000,  18.46971
   14,   0.09370,  10.77000,  17.40913
   15,   0.09170,   2.91000,  16.48663
   16,   0.08980,   0.00000,  15.68173
   17,   0.08790,   0.00000,  14.97704
   18,   0.08620,   0.00000,  14.35784
   19,   0.08450,   2.45000,  13.81161
   20,   0.08280,   2.29000,  13.32771
   21,   0.08130,   2.24000,  12.89714
   22,   0.07980,   2.29000,  12.78854
   23,   0.07830,   2.29000,  12.73057
   24,   0.07700,   0.00000,  12.67191
   25,   0.07530,   2.99000,  12.61259
   26,   0.07410,   0.00000,  12.55263
   27,   0.07290,   2.36000,  12.49206
   28,   0.07170,   2.94000,  12.43090
   29,   0.07060,   0.00000,  12.36917
   30,   0.06950,   0.00000,  12.30692
   31,   0.06850,   0.00000,  12.24415
   32,   0.06750,   2.45000,  12.18090
   33,   0.06660,   0.00000,  12.11719
   34,   0.06570,   0.00000,  12.05304
   35,   0.06480,   3.85000,  11.98849
   36,   0.06400,   0.00000,  11.92356
   37,   0.06320,  10.77000,  11.85827
   38,   0.06240,   0.00000,  11.79264
   39,   0.06160,   5.13000,  11.72671
   40,   0.06090,  10.77000,  11.66049
   41,   0.06020,   0.00000,  11.59402
   42,   0.05960,   0.00000,  11.52730
   43,   0.05890,   0.57000,  11.46037
   44,   0.05830,   0.00000,  11.39325
   45,   0.05770,   3.08000,  11.32596
   46,   0.05710,   2.20000,  11.25852
   47,   0.05660,   2.29000,  11.19096
   48,   0.05610,   1.52000,  11.12328
