 Optimized Parameter
a1 = ,       0.480763
a2 = ,       0.190212
a3 = ,       0.049754
b1 = ,       0.470634
b2 = ,       0.098872
z1 = ,      62.049423
z2 = ,      18.133139
s1 = ,      13.415628
s2 = ,       0.975866
s3 = ,       2.358153
Er = ,       0.000099
=============================
Event Number,  1
NS = ,       1.000000

 No,rain(mm/h),q_obs(m3/s),q_cal(m3/s),t1(m3/s),t2(m3/s),t3(m3/s)
2100040101,   0.05490,   5.70352,   5.70669,   7.13084,   6.59225,   2.92814
2100040102,   0.05440,   7.24962,   7.24902,   3.80363,   8.98774,   3.71952
2100040103,   0.05380,   8.86869,   8.86647,   2.04199,   9.73504,   4.54945
2100040104,   0.05330,  10.39119,  10.38843,   1.10918,   9.66114,   5.33037
2100040105,   0.05280,  11.74347,  11.74070,   0.61511,   9.19872,   6.02423
2100040106,   0.05230,  12.90093,  12.89840,   0.35330,   8.57228,   6.61826
2100040107,   0.05190,  13.86339,  13.86120,   0.21450,   7.89657,   7.11228
2100040108,   0.05140,  14.64220,  14.64037,   0.14076,   7.22860,   7.51207
2100040109,   0.05100,  15.25355,  15.25207,   0.10151,   6.59522,   7.82594
2100040110,   0.05060,  15.71510,  15.71395,   0.08052,   6.00765,   8.06293
2100040111,   0.05020,  16.04428,  16.04342,   0.06920,   5.46910,   8.23199
2100040112,   0.04990,  16.25748,  16.25688,   0.06305,   4.97888,   8.34151
2100040113,   0.04950,  16.36977,  16.36939,   0.05958,   4.53434,   8.39925
2100040114,   0.04920,  16.39477,  16.39459,   0.05758,   4.13215,   8.41217
2100040115,   0.04890,  16.34470,  16.34469,   0.05637,   3.76876,   8.38657
2100040116,   0.04860,  16.23048,  16.23061,   0.05557,   3.44065,   8.32803
2100040117,   0.04830,  16.06177,  16.06203,   0.05498,   3.14452,   8.24153
2100040118,   0.04800,  15.84718,  15.84753,   0.05452,   2.87729,   8.13147
2100040119,   0.04770,  15.59428,  15.59471,   0.05411,   2.63616,   8.00175
2100040120,   0.04750,  15.30976,  15.31026,   0.05379,   2.41861,   7.85580
2100040121,   0.04720,  14.99953,  15.00008,   0.05346,   2.22231,   7.69664
2100040122,   0.04700,  14.66874,  14.66935,   0.05318,   2.04519,   7.52694
2100040123,   0.04680,  14.32195,  14.32259,   0.05293,   1.88538,   7.34902
2100040124,   0.04660,  13.96313,  13.96379,   0.05269,   1.74118,   7.16491
2100040201,   0.04640,  13.59571,  13.59639,   0.05245,   1.61105,   6.97640
2100040202,   0.04620,  13.22272,  13.22341,   0.05222,   1.49360,   6.78502
2100040203,   0.04600,  12.84675,  12.84745,   0.05200,   1.38758,   6.59211
2100040204,   0.04590,  12.47005,  12.47075,   0.05182,   1.29191,   6.39882
2100040205,   0.04570,  12.09455,  12.09524,   0.05163,   1.20554,   6.20615
2100040206,   0.04550,  11.72188,  11.72257,   0.05141,   1.12753,   6.01493
2100040207,   0.04530,  11.35343,  11.35412,   0.05120,   1.05707,   5.82587
2100040208,   0.04520,  10.99040,  10.99107,   0.05103,   0.99344,   5.63959
2100040209,   0.04500,  10.63374,  10.63440,   0.05083,   0.93594,   5.45658
2100040210,   0.04490,  10.28428,  10.28492,   0.05068,   0.88400,   5.27726
2100040211,   0.04480,   9.94267,   9.94330,   0.05054,   0.83709,   5.10197
2100040212,   0.04460,   9.60945,   9.61006,   0.05037,   0.79468,   4.93098
2100040213,   0.04450,   9.28502,   9.28561,   0.05022,   0.75634,   4.76451
2100040214,   0.04440,   8.96968,   8.97026,   0.05009,   0.72169,   4.60270
2100040215,   0.04430,   8.66368,   8.66423,   0.04997,   0.69036,   4.44567
2100040216,   0.04420,   8.36714,   8.36768,   0.04985,   0.66204,   4.29351
2100040217,   0.04410,   8.08015,   8.08067,   0.04973,   0.63643,   4.14625
2100040218,   0.04400,   7.80274,   7.80324,   0.04962,   0.61326,   4.00389
2100040219,   0.04390,   7.53487,   7.53535,   0.04951,   0.59228,   3.86644
2100040220,   0.04380,   7.27646,   7.27693,   0.04939,   0.57330,   3.73384
2100040221,   0.04370,   7.02742,   7.02787,   0.04928,   0.55609,   3.60604
2100040222,   0.04360,   6.78761,   6.78803,   0.04917,   0.54050,   3.48298
2100040223,   0.04350,   6.55685,   6.55725,   0.04906,   0.52636,   3.36457
2100040224,   0.04340,   6.33496,   6.33535,   0.04894,   0.51353,   3.25071
2100040301,   0.04340,   6.12176,   6.12213,   0.04888,   0.50192,   3.14131
